filename;line_total;line_covered;line_percent;branch_total;branch_covered;branch_percent;mutation_score
Heap;44;44;1,0;24;24;1,0;0,986667
InversePermutation;17;17;1,0;14;14;1,0;0,980583
LRS;42;42;1,0;18;18;1,0;0,978622
MergeSort;36;36;1,0;18;18;1,0;0,969760
Queue;45;45;1,0;20;20;1,0;0,948956
Stack;49;45;0,9179999999999999;18;14;0,778;0,936118
UnixCal;103;103;1,0;55;52;0,945;0,970308
boundedQueue;43;43;1,0;10;10;1,0;0,947111
cal;22;22;1,0;10;9;0,9;0,946341
Calculation;39;39;1,0;28;28;1,0;0,975272
checkIt;8;8;1,0;6;6;1,0;0,989899
CheckPalindrome;15;15;1,0;6;6;1,0;0,958621
countPositive;11;11;1,0;6;6;1,0;0,992958
date-plus;113;112;0,991;58;53;0,914;0,954807
DigitReverser;19;19;1,0;4;4;1,0;1,000000
findLast;14;14;1,0;8;8;1,0;1,000000
findVal;12;12;1,0;6;6;1,0;0,994318
jday-jdate;37;37;1,0;6;6;1,0;0,970040
lastZero;11;11;1,0;6;6;1,0;1,000000
numZero;14;14;1,0;8;8;1,0;1,000000
oddOrPos;11;11;1,0;10;10;1,0;0,965517
pcal;153;142;0,9279999999999999;112;98;0,875;0,946644
power;12;12;1,0;4;4;1,0;1,000000
printPrimes;29;29;1,0;12;12;1,0;1,000000
quicksort;30;30;1,0;16;16;1,0;0,994792
sum;10;10;1,0;4;4;1,0;1,000000
RecursiveSelectionSort;21;21;1,0;10;10;1,0;1,000000
trashAndTakeOut;21;21;1,0;8;8;1,0;0,910345
